"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       373	     2,984	      1010	     0,000	 65535,000	    38,154	    38,154
       374	     2,992	       994	     0,000	 65535,000	    22,154	    22,154
       375	     3,000	       994	     0,000	 65535,000	    22,154	    22,154
       376	     3,008	       962	     0,000	 65535,000	    -9,846	    -9,846
       377	     3,016	       994	     0,000	 65535,000	    22,154	    22,154
       378	     3,024	       978	     0,000	 65535,000	     6,154	     6,154
       379	     3,032	       962	     0,000	 65535,000	    -9,846	    -9,846
       380	     3,040	      1010	     0,000	 65535,000	    38,154	    38,154
       381	     3,048	       962	     0,000	 65535,000	    -9,846	    -9,846
       382	     3,056	       946	     0,000	 65535,000	   -25,846	   -25,846
       383	     3,064	       994	     0,000	 65535,000	    22,154	    22,154
       384	     3,072	       978	     0,000	 65535,000	     6,154	     6,154
       385	     3,080	       978	     0,000	 65535,000	     6,154	     6,154
       386	     3,088	      1010	     0,000	 65535,000	    38,154	    38,154
       387	     3,096	      1026	     0,000	 65535,000	    54,154	    54,154
       388	     3,104	       962	     0,000	 65535,000	    -9,846	    -9,846
       389	     3,112	       962	     0,000	 65535,000	    -9,846	    -9,846
       390	     3,120	       962	     0,000	 65535,000	    -9,846	    -9,846
       391	     3,128	      1010	     0,000	 65535,000	    38,154	    38,154
       392	     3,136	      1042	     0,000	 65535,000	    70,154	    70,154
       393	     3,144	      1026	     0,000	 65535,000	    54,154	    54,154
       394	     3,152	       978	     0,000	 65535,000	     6,154	     6,154
       395	     3,160	       994	     0,000	 65535,000	    22,154	    22,154
       396	     3,168	       978	     0,000	 65535,000	     6,154	     6,154
       397	     3,176	       978	     0,000	 65535,000	     6,154	     6,154
